CRM_ID,hits_customDimensions_value,gender,birthday,state_code,annual_income_dollar,create_date,customer_level,CV_flag
1000025,2062132129.1399450167,M,6/20/1954,WA,240000,6/20/2012,Bronze,1
1000026,2062403122.1409990907,M,1/21/1989,FL,100000,4/21/2004,Bronze,1
1000027,31026822.1409373713,M,4/5/1974,CA,80000,6/17/1992,Gold,0
1000028,72505359.1409351986,F,12/12/1960,WA,65000,5/5/2005,Gold,0
1000029,202770349.1409404881,F,6/20/1954,TX,30000,6/20/2012,Silver,0
1000030,352564444.1409409711,M,1/21/1989,WA,,4/21/2004,Bronze,1
1000031,353464045.1409391473,M,4/5/1974,WA,56000,6/17/1992,Bronze,1
1000032,439185539.1409375300,M,12/12/1960,FL,65000,5/5/2005,Gold,0
1000033,481935129.1409380223,M,6/20/1954,CA,59000,6/20/2012,Gold,0
1000034,510180991.1409367078,F,1/21/1989,WA,240000,4/21/2004,Silver,0
1000035,750152955.1409369569,F,4/5/1974,TX,24000,6/17/1992,Bronze,1
1000036,927083567.1409372291,M,12/12/1960,WA,0,5/5/2005,Bronze,0
1000037,1160212159.1409379006,M,6/20/1954,WA,56000,6/20/2012,Gold,0
1000038,1172465737.1409380199,M,1/21/1989,FL,120000,4/21/2004,Gold,0
1000039,1327036839.1409378542,M,4/5/1974,CA,4100000,6/17/1992,Silver,0
1000040,1372397779.1409347847,F,12/12/1960,WA,240000,5/5/2005,Bronze,0
1000041,1463432376.1373541286,F,6/20/1954,TX,100000,6/20/2012,Bronze,0
1000042,1506589069.1409363982,M,1/21/1989,WA,80000,4/21/2004,Gold,0
1000043,1589054448.1409365369,M,4/5/1974,WA,65000,6/17/1992,Gold,0
1000044,1672950010.1409343392,M,12/12/1960,FL,30000,5/5/2005,Silver,0
1000045,1700867545.1409399682,M,6/20/1954,CA,,6/20/2012,Bronze,0
1000046,1732291916.1402864201,F,1/21/1989,WA,56000,4/21/2004,Bronze,1
1000047,1808384473.1409365193,F,4/5/1974,TX,0,6/17/1992,Gold,0
1000048,1949212675.1409374013,M,12/12/1960,WA,65000,5/5/2005,Gold,0
1000049,1985369410.1409440848,M,6/20/1954,WA,59000,6/20/2012,Silver,0
1000050,146137342.1408814976,M,1/21/1989,FL,240000,4/21/2004,Bronze,1
1000051,444000601.1408876117,M,4/5/1974,CA,24000,6/17/1992,Bronze,0
1000052,556667571.1408880784,F,12/12/1960,WA,0,5/5/2005,Gold,0
1000053,649965965.1408891662,F,6/20/1954,TX,56000,6/20/2012,Gold,1
1000054,902617711.1408860161,M,1/21/1989,WA,120000,4/21/2004,Silver,0
1000055,989389883.1408889687,M,4/5/1974,WA,4100000,6/17/1992,Bronze,0
1000056,1017341224.1399532884,M,12/12/1960,FL,240000,5/5/2005,Bronze,0
1000057,2027110704.1408879627,M,6/20/1954,CA,100000,6/20/2012,Gold,0
1000058,885291381.1407624914,F,1/21/1989,WA,80000,4/21/2004,Gold,0
1000059,903823663.1407624502,F,4/5/1974,TX,65000,6/17/1992,Silver,0
1000060,1019689915.1407649828,M,12/12/1960,WA,30000,5/5/2005,Bronze,0
1000061,1165158682.1407600146,M,6/20/1954,WA,,6/20/2012,Bronze,0
1000062,1371175981.1407676668,M,1/21/1989,FL,56000,4/21/2004,Gold,0
1000063,1441745300.1407596706,M,4/5/1974,CA,0,6/17/1992,Gold,0
1000064,1651211878.1407678441,F,12/12/1960,WA,65000,5/5/2005,Silver,0
1000065,2020304050.1407633216,F,6/20/1954,TX,59000,6/20/2012,Bronze,0
1000066,2022221704.1407650600,M,1/21/1989,WA,240000,4/21/2004,Bronze,0
1000067,133529895.1406997738,M,4/5/1974,WA,24000,6/17/1992,Gold,0
1000068,371384051.1407054192,M,12/12/1960,FL,0,5/5/2005,Gold,0
1000069,386569293.1407051217,M,6/20/1954,CA,56000,6/20/2012,Silver,0
1000070,881816342.1407046637,F,1/21/1989,WA,120000,4/21/2004,Bronze,0
1000071,993340531.1407070562,F,4/5/1974,TX,4100000,6/17/1992,Bronze,0
1000072,1102125903.1407041822,M,12/12/1960,WA,240000,5/5/2005,Gold,0
1000073,1171433498.1407058447,M,6/20/1954,WA,100000,6/20/2012,Gold,0
1000074,1307994213.1407072569,M,1/21/1989,FL,80000,4/21/2004,Silver,0
1000075,1353954992.1407065761,M,4/5/1974,CA,65000,6/17/1992,Bronze,0
1000076,1357689044.1407024570,F,12/12/1960,WA,30000,5/5/2005,Bronze,0
1000077,1622808050.1407068720,F,6/20/1954,TX,,6/20/2012,Gold,0
1000078,1738442216.1407044807,M,1/21/1989,WA,56000,4/21/2004,Gold,0
1000079,148539308.1406433886,M,4/5/1974,WA,0,6/17/1992,Silver,0
1000080,306251908.1406459962,M,12/12/1960,FL,65000,5/5/2005,Bronze,0
1000081,660335026.1406457881,M,6/20/1954,CA,59000,6/20/2012,Bronze,0
1000082,832826049.1406404172,F,1/21/1989,WA,240000,4/21/2004,Gold,0
1000083,1144742590.1359035248,F,4/5/1974,TX,24000,6/17/1992,Gold,0
1000084,1590818731.1406441661,M,12/12/1960,WA,0,5/5/2005,Silver,0
1000085,1768440125.1406446838,M,6/20/1954,WA,56000,6/20/2012,Bronze,0
1000086,19257385.1392634973,M,1/21/1989,FL,120000,4/21/2004,Bronze,1
1000087,83102040.1409013833,M,4/5/1974,CA,4100000,6/17/1992,Gold,0
1000088,232756554.1409016839,F,12/12/1960,WA,240000,5/5/2005,Gold,0
1000089,274229477.1408984589,F,6/20/1954,TX,100000,6/20/2012,Silver,0
1000090,286431025.1409032896,M,1/21/1989,WA,80000,4/21/2004,Bronze,0
1000091,320080927.1409041884,M,4/5/1974,WA,65000,6/17/1992,Bronze,0
1000092,343846122.1409032296,M,12/12/1960,FL,30000,5/5/2005,Gold,0
1000093,429495528.1408997500,M,6/20/1954,CA,,6/20/2012,Gold,0
1000094,553551413.1409029240,F,1/21/1989,WA,56000,4/21/2004,Silver,0
1000095,621739232.1409049482,F,4/5/1974,TX,0,6/17/1992,Bronze,0
1000096,681997196.1409015944,M,12/12/1960,WA,65000,5/5/2005,Bronze,0
1000097,741518999.1409019280,M,6/20/1954,WA,59000,6/20/2012,Gold,0
1000098,751899025.1409063458,M,1/21/1989,FL,240000,4/21/2004,Gold,0
1000099,773557604.1409042188,M,4/5/1974,CA,24000,6/17/1992,Silver,0
1000100,957819757.1409003617,F,12/12/1960,WA,0,5/5/2005,Bronze,0
1000101,1052077159.1409037135,F,6/20/1954,TX,56000,6/20/2012,Bronze,0
1000102,1065863480.1409050540,M,1/21/1989,WA,120000,4/21/2004,Gold,0
1000103,1076089316.1409028990,M,4/5/1974,WA,4100000,6/17/1992,Gold,1
1000104,1142171256.1409033235,M,12/12/1960,FL,240000,5/5/2005,Silver,0
1000105,1148774961.1409040918,M,6/20/1954,CA,100000,6/20/2012,Bronze,1
1000106,1254654485.1409025001,F,1/21/1989,WA,80000,4/21/2004,Bronze,0
1000107,1275297985.1409017265,F,4/5/1974,TX,65000,6/17/1992,Gold,0
1000108,1346111918.1408992974,M,12/12/1960,WA,30000,5/5/2005,Gold,0
1000109,1435107238.1409027918,M,6/20/1954,WA,,6/20/2012,Silver,0
1000110,1590144541.1409017148,M,1/21/1989,FL,56000,4/21/2004,Bronze,0
1000111,1700198028.1409021208,M,4/5/1974,CA,0,6/17/1992,Bronze,0
1000112,1741369138.1385424238,F,12/12/1960,WA,65000,5/5/2005,Gold,0
1000113,1938404479.1409016117,F,6/20/1954,TX,59000,6/20/2012,Gold,1
1000114,2028469702.1409037695,M,1/21/1989,WA,240000,4/21/2004,Silver,1
1000115,2062516069.1409027719,M,4/5/1974,WA,24000,6/17/1992,Bronze,0
1000116,2133765893.1409049109,M,12/12/1960,FL,0,5/5/2005,Bronze,0
1000117,2136593100.1409018017,M,6/20/1954,CA,56000,6/20/2012,Gold,0
1000118,72552249.1403856339,F,1/21/1989,WA,120000,4/21/2004,Gold,1
1000119,112978108.1409536157,F,4/5/1974,TX,4100000,6/17/1992,Silver,0
1000120,191813857.1409537679,M,12/12/1960,WA,240000,5/5/2005,Bronze,0
1000121,193434939.1359720089556,M,6/20/1954,WA,100000,6/20/2012,Bronze,1
1000122,217005329.1409217762,M,1/21/1989,FL,80000,4/21/2004,Gold,1
1000123,230417726.1401274970,M,4/5/1974,CA,65000,6/17/1992,Gold,0
1000124,283883835.1409500996,F,12/12/1960,WA,30000,5/5/2005,Silver,1
1000125,336555724.1409547234,F,6/20/1954,TX,,6/20/2012,Bronze,0
1000126,342844974.1409519546,M,1/21/1989,WA,56000,4/21/2004,Bronze,0
1000127,411184451.1407116379,M,4/5/1974,WA,0,6/17/1992,Gold,0
1000128,459556491.1409568113,M,12/12/1960,FL,65000,5/5/2005,Gold,0
1000129,599339078.1409280654,M,6/20/1954,CA,59000,6/20/2012,Silver,0
1000130,705082861.1409566105,F,1/21/1989,WA,240000,4/21/2004,Bronze,0
1000131,732798045.1409499194,F,4/5/1974,TX,24000,6/17/1992,Bronze,0
1000132,1063869149.1409557746,M,12/12/1960,WA,0,5/5/2005,Gold,1
1000133,1082640581.1409540931,M,6/20/1954,WA,56000,6/20/2012,Gold,0
1000134,1154674059.1409551750,M,1/21/1989,FL,120000,4/21/2004,Silver,0
1000135,1218786102.1409545892,M,4/5/1974,CA,4100000,6/17/1992,Bronze,0
1000136,1224098185.1409567881,F,12/12/1960,WA,240000,5/5/2005,Bronze,0
1000137,1276200505.1409551597,F,6/20/1954,TX,100000,6/20/2012,Gold,1
1000138,1294993922.1407459167,M,1/21/1989,WA,80000,4/21/2004,Gold,0
1000139,1441707558.1409556483,M,4/5/1974,WA,65000,6/17/1992,Silver,1
1000140,1776916878.1409556493,M,12/12/1960,FL,30000,5/5/2005,Bronze,1
1000141,1789944046.1409554818,M,6/20/1954,CA,,6/20/2012,Bronze,1
1000142,1829776980.1409563216,F,1/21/1989,WA,56000,4/21/2004,Gold,1
1000143,1840591450.1409534025,F,4/5/1974,TX,0,6/17/1992,Gold,0
1000144,1966970839.1409547892,M,12/12/1960,WA,65000,5/5/2005,Silver,1
1000145,2007139438.1409559177,M,6/20/1954,WA,59000,6/20/2012,Bronze,0
1000146,2075759123.1409531109,M,1/21/1989,FL,240000,4/21/2004,Bronze,1
1000147,2112806697.1400029839,M,4/5/1974,CA,24000,6/17/1992,Gold,0
1000148,78710466.1406598612,F,12/12/1960,WA,0,5/5/2005,Gold,0
1000149,110434912.1406632811,F,6/20/1954,TX,56000,6/20/2012,Silver,0
1000150,153163908.1406599417,M,1/21/1989,WA,120000,4/21/2004,Bronze,0
1000151,160144221.1405558992,M,4/5/1974,WA,4100000,6/17/1992,Bronze,0
1000152,167510583.1404711692,M,12/12/1960,FL,240000,5/5/2005,Gold,0
1000153,194652126.1406583889,M,6/20/1954,CA,100000,6/20/2012,Gold,0
1000154,248591491.1406601623,F,1/21/1989,WA,80000,4/21/2004,Silver,0
1000155,250128707.1406634105,F,4/5/1974,TX,65000,6/17/1992,Bronze,0
1000156,279850308.1400813478,M,12/12/1960,WA,30000,5/5/2005,Bronze,0
1000157,304376279.1406600844,M,6/20/1954,WA,,6/20/2012,Gold,0
1000158,342339149.1406611746,M,1/21/1989,FL,56000,4/21/2004,Gold,0
1000159,354462332.1406595435,M,4/5/1974,CA,0,6/17/1992,Silver,0
1000160,389146544.1406601914,F,12/12/1960,WA,65000,5/5/2005,Bronze,0
1000161,405339035.1406615996,F,6/20/1954,TX,59000,6/20/2012,Bronze,0
1000162,487192118.1406591903,M,1/21/1989,WA,240000,4/21/2004,Gold,0
1000163,525874891.1406606880,M,4/5/1974,WA,24000,6/17/1992,Gold,0
1000164,572373036.1406608045,M,12/12/1960,FL,0,5/5/2005,Silver,0
1000165,593549124.1406624706,M,6/20/1954,CA,56000,6/20/2012,Bronze,0
1000166,594828737.1406598730,F,1/21/1989,WA,120000,4/21/2004,Bronze,0
1000167,598990473.1406622107,F,4/5/1974,TX,4100000,6/17/1992,Gold,0
1000168,667612325.1406612375,M,12/12/1960,WA,240000,5/5/2005,Gold,0
1000169,814308555.1406611647,M,6/20/1954,WA,100000,6/20/2012,Silver,0
1000170,873394249.1406563426,M,1/21/1989,FL,80000,4/21/2004,Bronze,0
1000171,930859465.1406616796,M,4/5/1974,CA,65000,6/17/1992,Bronze,0
1000172,1091878496.1406629256,F,12/12/1960,WA,30000,5/5/2005,Gold,0
1000173,1194169878.1377141869,F,6/20/1954,TX,,6/20/2012,Gold,1
1000174,1202400117.1406601050,M,1/21/1989,WA,56000,4/21/2004,Silver,0
1000175,1252178369.1406618588,M,4/5/1974,WA,0,6/17/1992,Bronze,0
1000176,1255222287.1406600015,M,12/12/1960,FL,65000,5/5/2005,Bronze,0
1000177,1281962856.1406631621,M,6/20/1954,CA,59000,6/20/2012,Gold,0
1000178,1313041357.1406617674,F,1/21/1989,WA,240000,4/21/2004,Gold,0
1000179,1366749515.1406600383,F,4/5/1974,TX,24000,6/17/1992,Silver,0
1000180,1463396964.1406602318,M,12/12/1960,WA,0,5/5/2005,Bronze,0
1000181,1470890721.1406626685,M,6/20/1954,WA,56000,6/20/2012,Bronze,0
1000182,1560481669.1406607554,M,1/21/1989,FL,120000,4/21/2004,Gold,0
1000183,1659574155.1406612523,M,4/5/1974,CA,4100000,6/17/1992,Gold,0
1000184,1759777184.1406612862,F,12/12/1960,WA,240000,5/5/2005,Silver,0
1000185,1780753832.1406613033,F,6/20/1954,TX,100000,6/20/2012,Bronze,0
1000186,1810792647.1397443679,M,1/21/1989,WA,80000,4/21/2004,Bronze,1
1000187,1907121369.1401762364,M,4/5/1974,WA,65000,6/17/1992,Gold,0
1000188,1966848088.1397442165,M,12/12/1960,FL,30000,5/5/2005,Gold,1
1000189,1995213942.1406560578,M,6/20/1954,CA,,6/20/2012,Silver,0
1000190,2006559908.1406620317,F,1/21/1989,WA,56000,4/21/2004,Bronze,0
1000191,2018813860.1406594341,F,4/5/1974,TX,0,6/17/1992,Bronze,0
1000192,2038882681.1406594214,M,12/12/1960,WA,65000,5/5/2005,Gold,0
1000193,21820475.1409302481,M,6/20/1954,WA,59000,6/20/2012,Gold,0
1000194,196507680.1410145081,M,1/21/1989,FL,240000,4/21/2004,Silver,1
1000195,289903061.1410144931,M,4/5/1974,CA,24000,6/17/1992,Bronze,0
1000196,315025153.1398991869,F,12/12/1960,WA,0,5/5/2005,Bronze,0
1000197,365152734.1410152854,F,6/20/1954,TX,56000,6/20/2012,Gold,1
1000198,444115511.1410175473,M,1/21/1989,WA,120000,4/21/2004,Gold,0
1000199,467104813.1410154241,M,4/5/1974,WA,4100000,6/17/1992,Silver,0
1000200,555542698.1410138640,M,12/12/1960,FL,240000,5/5/2005,Bronze,1
1000201,664634489.1410181556,M,6/20/1954,CA,100000,6/20/2012,Bronze,0
1000202,740862308.1410155482,F,1/21/1989,WA,80000,4/21/2004,Gold,0
1000203,814108066.1410167025,F,4/5/1974,TX,65000,6/17/1992,Gold,0
1000204,978851184.1410113508,M,12/12/1960,WA,30000,5/5/2005,Silver,0
1000205,985149781.1410166620,M,6/20/1954,WA,,6/20/2012,Bronze,0
1000206,1000297146.1410146239,M,1/21/1989,FL,56000,4/21/2004,Bronze,1
1000207,1138515323.1410127088,M,4/5/1974,CA,0,6/17/1992,Gold,0
1000208,1157276545.1410146531,F,12/12/1960,WA,65000,5/5/2005,Gold,0
1000209,1167417078.1410139474,F,6/20/1954,TX,59000,6/20/2012,Silver,1
1000210,1194048121.1410165818,M,1/21/1989,WA,240000,4/21/2004,Bronze,0
1000211,1211283141.1410131957,M,4/5/1974,WA,24000,6/17/1992,Bronze,0
1000212,1229841431.1410186402,M,12/12/1960,FL,0,5/5/2005,Gold,0
1000213,1376996353.1410159051,M,6/20/1954,CA,56000,6/20/2012,Gold,1
1000214,1480699196.1398930735,F,1/21/1989,WA,120000,4/21/2004,Silver,0
1000215,1550841686.1410163550,F,4/5/1974,TX,4100000,6/17/1992,Bronze,0
1000216,1608301362.1410132147,M,12/12/1960,WA,240000,5/5/2005,Bronze,0
1000217,1626041620.1410107162,M,6/20/1954,WA,100000,6/20/2012,Gold,0
1000218,1825577801.1375356596,M,1/21/1989,FL,80000,4/21/2004,Gold,1
1000219,1925088131.1409288995,M,4/5/1974,CA,65000,6/17/1992,Silver,1
1000220,1968874543.1410134910,F,12/12/1960,WA,30000,5/5/2005,Bronze,0
1000221,2038005060.1410156775,F,6/20/1954,TX,,6/20/2012,Bronze,1
1000222,7452282.1407228721,M,1/21/1989,WA,56000,4/21/2004,Gold,0
1000223,11052274.1407220561,M,4/5/1974,WA,0,6/17/1992,Gold,0
1000224,27516126.1407222648,M,12/12/1960,FL,65000,5/5/2005,Silver,0
1000225,80665364.1407219857,M,6/20/1954,CA,59000,6/20/2012,Bronze,0
1000226,97496910.1407199957,F,1/21/1989,WA,240000,4/21/2004,Bronze,0
1000227,112505809.1407237307,F,4/5/1974,TX,24000,6/17/1992,Gold,0
1000228,240937028.1406682205,M,12/12/1960,WA,0,5/5/2005,Gold,0
1000229,288015289.1407203907,M,6/20/1954,WA,56000,6/20/2012,Silver,0
1000230,301339265.1407211742,M,1/21/1989,FL,120000,4/21/2004,Bronze,0
1000231,317636894.1406699468,M,4/5/1974,CA,4100000,6/17/1992,Bronze,0
1000232,403791189.1407183619,F,12/12/1960,WA,240000,5/5/2005,Gold,0
1000233,437350789.1407225452,F,6/20/1954,TX,100000,6/20/2012,Gold,0
1000234,463712710.1407216787,M,1/21/1989,WA,80000,4/21/2004,Silver,0
1000235,527406636.1407237034,M,4/5/1974,WA,65000,6/17/1992,Bronze,0
1000236,559891699.1407204530,M,12/12/1960,FL,30000,5/5/2005,Bronze,0
1000237,690998359.1404969425,M,6/20/1954,CA,,6/20/2012,Gold,0
1000238,824717496.1407207999,F,1/21/1989,WA,56000,4/21/2004,Gold,0
1000239,841329231.1403236777,F,4/5/1974,TX,0,6/17/1992,Silver,0
1000240,869931946.1407151746,M,12/12/1960,WA,65000,5/5/2005,Bronze,0
1000241,871591182.1405562988,M,6/20/1954,WA,59000,6/20/2012,Bronze,0
1000242,880627763.1407221329,M,1/21/1989,FL,240000,4/21/2004,Gold,0
1000243,918386631.1407221560,M,4/5/1974,CA,24000,6/17/1992,Gold,0
1000244,985449787.1407233147,F,12/12/1960,WA,0,5/5/2005,Silver,0
1000245,1107774688.1403685214,F,6/20/1954,TX,56000,6/20/2012,Bronze,0
1000246,1139164414.1407230484,M,1/21/1989,WA,120000,4/21/2004,Bronze,0
1000247,1165944197.1393482124,M,4/5/1974,WA,4100000,6/17/1992,Gold,0
1000248,1171810769.1407227922,M,12/12/1960,FL,240000,5/5/2005,Gold,0
1000249,1197969869.1407166244,M,6/20/1954,CA,100000,6/20/2012,Silver,0
1000250,1206071951.1407207835,F,1/21/1989,WA,80000,4/21/2004,Bronze,0
1000251,1222242907.1407229055,F,4/5/1974,TX,65000,6/17/1992,Bronze,0
1000252,1233030286.1407207616,M,12/12/1960,WA,30000,5/5/2005,Gold,0
1000253,1277331404.1407207144,M,6/20/1954,WA,,6/20/2012,Gold,0
1000254,1279334004.1407215675,M,1/21/1989,FL,56000,4/21/2004,Silver,1
1000255,1307287645.1407192460,M,4/5/1974,CA,0,6/17/1992,Bronze,0
1000256,1330620009.1407206144,F,12/12/1960,WA,65000,5/5/2005,Bronze,0
1000257,1332001165.1407212739,F,6/20/1954,TX,59000,6/20/2012,Gold,0
1000258,1375429705.1407219852,M,1/21/1989,WA,240000,4/21/2004,Gold,0
1000259,1407289526.1407194036,M,4/5/1974,WA,24000,6/17/1992,Silver,0
1000260,1447921387.1407207438,M,12/12/1960,FL,0,5/5/2005,Bronze,0
1000261,1515840602.1407236993,M,6/20/1954,CA,56000,6/20/2012,Bronze,0
1000262,1604641837.1407222898,F,1/21/1989,WA,120000,4/21/2004,Gold,0
1000263,1761839937.1407231928,F,4/5/1974,TX,4100000,6/17/1992,Gold,0
1000264,1766578947.1407218813,M,12/12/1960,WA,240000,5/5/2005,Silver,0
1000265,1844441331.1407224019,M,6/20/1954,WA,100000,6/20/2012,Bronze,0
1000266,1987679575.1407222261,M,1/21/1989,FL,80000,4/21/2004,Bronze,0
1000267,2003286189.1407217587,M,4/5/1974,CA,65000,6/17/1992,Gold,0
1000268,2061020224.1407224111,F,12/12/1960,WA,30000,5/5/2005,Gold,0
1000269,2062847611.1407224821,F,6/20/1954,TX,,6/20/2012,Silver,0
1000270,64689463.1408421196,M,1/21/1989,WA,56000,4/21/2004,Bronze,0
1000271,79879803.1408421626,M,4/5/1974,WA,0,6/17/1992,Bronze,1
1000272,117628286.1408422514,M,12/12/1960,FL,65000,5/5/2005,Gold,0
1000273,129886785.1408423336,M,6/20/1954,CA,59000,6/20/2012,Gold,0
1000274,195274956.1408446882,F,1/21/1989,WA,240000,4/21/2004,Silver,0
1000275,203620577.1408413218,F,4/5/1974,TX,24000,6/17/1992,Bronze,1
1000276,228388132.1401330783,M,12/12/1960,WA,0,5/5/2005,Bronze,0
1000277,318450971.1408406448,M,6/20/1954,WA,56000,6/20/2012,Gold,0
1000278,386763670.1407812328,M,1/21/1989,FL,120000,4/21/2004,Gold,0
1000279,438121877.1408446201,M,4/5/1974,CA,4100000,6/17/1992,Silver,0
1000280,441149947.1408427836,F,12/12/1960,WA,240000,5/5/2005,Bronze,0
1000281,493398167.1408427724,F,6/20/1954,TX,100000,6/20/2012,Bronze,0
1000282,590857797.1408458179,M,1/21/1989,WA,80000,4/21/2004,Gold,0
1000283,698695443.1408424316,M,4/5/1974,WA,65000,6/17/1992,Gold,0
1000284,716668568.1408426985,M,12/12/1960,FL,30000,5/5/2005,Silver,0
1000285,741109061.1408425227,M,6/20/1954,CA,,6/20/2012,Bronze,0
1000286,770952955.1408353904,F,1/21/1989,WA,56000,4/21/2004,Bronze,0
1000287,790578287.1408421312,F,4/5/1974,TX,0,6/17/1992,Gold,0
1000288,808467007.1408433790,M,12/12/1960,WA,65000,5/5/2005,Gold,0
1000289,823472253.1408441563,M,6/20/1954,WA,59000,6/20/2012,Silver,0
1000290,875263004.1408438770,M,1/21/1989,FL,240000,4/21/2004,Bronze,1
1000291,1143763370.1408425609,M,4/5/1974,CA,24000,6/17/1992,Bronze,0
1000292,1296850138.1408441937,F,12/12/1960,WA,0,5/5/2005,Gold,1
1000293,1308240621.1408427161,F,6/20/1954,TX,56000,6/20/2012,Gold,0
1000294,1344628794.1408446378,M,1/21/1989,WA,120000,4/21/2004,Silver,1
1000295,1478463652.1408425042,M,4/5/1974,WA,4100000,6/17/1992,Bronze,0
1000296,1568156576.1401087032,M,12/12/1960,FL,240000,5/5/2005,Bronze,0
1000297,1622328546.1408412303,M,6/20/1954,CA,100000,6/20/2012,Gold,0
1000298,1692475596.1408437785,F,1/21/1989,WA,80000,4/21/2004,Gold,0
1000299,1722723527.1408427912,F,4/5/1974,TX,65000,6/17/1992,Silver,0
1000300,1757321702.1408413085,M,12/12/1960,WA,30000,5/5/2005,Bronze,0
1000301,1776801558.1408419872,M,6/20/1954,WA,,6/20/2012,Bronze,0
1000302,1789381852.1408428329,M,1/21/1989,FL,56000,4/21/2004,Gold,0
1000303,1880976167.1403590448,M,4/5/1974,CA,0,6/17/1992,Gold,0
1000304,2010499485.1408438339,F,12/12/1960,WA,65000,5/5/2005,Silver,1
1000305,2042157752.1408433813,F,6/20/1954,TX,59000,6/20/2012,Bronze,0
1000306,192183038.1407848396,M,1/21/1989,WA,240000,4/21/2004,Bronze,0
1000307,444282613.1407826356,M,4/5/1974,WA,24000,6/17/1992,Gold,0
1000308,478030493.1407841486,M,12/12/1960,FL,0,5/5/2005,Gold,0
1000309,501429573.1407827412,M,6/20/1954,CA,56000,6/20/2012,Silver,0
1000310,570473484.1407823593,F,1/21/1989,WA,120000,4/21/2004,Bronze,0
1000311,575621058.1407372914,F,4/5/1974,TX,4100000,6/17/1992,Bronze,1
1000312,605939727.1407838441,M,12/12/1960,WA,240000,5/5/2005,Gold,0
1000313,676676285.1407799584,M,6/20/1954,WA,100000,6/20/2012,Gold,0
1000314,729884074.1407819456,M,1/21/1989,FL,80000,4/21/2004,Silver,0
1000315,767688872.1406706754,M,4/5/1974,CA,65000,6/17/1992,Bronze,0
1000316,826258283.1407842732,F,12/12/1960,WA,30000,5/5/2005,Bronze,0
1000317,955792455.1407810959,F,6/20/1954,TX,,6/20/2012,Gold,0
1000318,972555143.1407844040,M,1/21/1989,WA,56000,4/21/2004,Gold,0
1000319,1217406860.1407826235,M,4/5/1974,WA,0,6/17/1992,Silver,1
1000320,1482987606.1407769612,M,12/12/1960,FL,65000,5/5/2005,Bronze,0
1000321,1521179686.1407816069,M,6/20/1954,CA,59000,6/20/2012,Bronze,0
1000322,1605676302.1407800089,F,1/21/1989,WA,240000,4/21/2004,Gold,0
1000323,1632433191.1407820414,F,4/5/1974,TX,24000,6/17/1992,Gold,0
1000324,1742422018.1407837686,M,12/12/1960,WA,0,5/5/2005,Silver,0
1000325,2012097073.1407812095,M,6/20/1954,WA,56000,6/20/2012,Bronze,0
1000326,50667032.1409190602,M,1/21/1989,FL,120000,4/21/2004,Bronze,0
1000327,164171069.1409236693,M,4/5/1974,CA,4100000,6/17/1992,Gold,0
1000328,168567549.1409200066,F,12/12/1960,WA,240000,5/5/2005,Gold,0
1000329,254157526.1409201422,F,6/20/1954,TX,100000,6/20/2012,Silver,0
1000330,580158288.1409181543,M,1/21/1989,WA,80000,4/21/2004,Bronze,0
1000331,584727568.1409188822,M,4/5/1974,WA,65000,6/17/1992,Bronze,0
1000332,600740389.1409201165,M,12/12/1960,FL,30000,5/5/2005,Gold,0
1000333,608324741.1409201171,M,6/20/1954,CA,,6/20/2012,Gold,0
